name,group,SPDflows,Censusflows
Ceredigion,grp1,4331.428571,4351.428571
Charnwood,grp1,-2131.428571,-2111.428571
Chelmsford,grp1,-4211.428571,-4191.428571
Cheltenham,grp1,-3914.285714,-3894.285714
Cherwell,grp1,-608.5714286,-588.5714286
Cheshire East,grp1,-6254.285714,-6234.285714
Cheshire West and Chester,grp1,-6217.142857,-6197.142857
Chesterfield,grp1,-5288.571429,-5268.571429
Chichester,grp1,988.5714286,1008.571429
Chiltern,grp1,-5882.857143,-5862.857143
Chorley,grp1,-2577.142857,-2557.142857
Christchurch,grp1,-4768.571429,-4748.571429
City of London,grp1,2882.857143,2902.857143
Colchester,grp1,-4174.285714,-4154.285714
Conwy,grp1,4182.857143,4202.857143
Copeland,grp1,-5474.285714,-5454.285714
Corby,grp1,-1388.571429,-1368.571429
Cornwall,grp1,-6142.857143,-6122.857143
Cotswold,grp1,-3877.142857,-3857.142857
County Durham,grp1,-6291.428571,-6271.428571
Coventry,grp1,2437.142857,2457.142857
Craven,grp1,-1128.571429,-1108.571429
Crawley,grp1,1025.714286,1045.714286
Croydon,grp1,3142.857143,3162.857143
Dacorum,grp1,-3245.714286,-3225.714286
Darlington,grp1,-7851.428571,-7831.428571
Dartford,grp1,-2985.714286,-2965.714286
Daventry,grp1,-1351.428571,-1331.428571
Denbighshire,grp1,4220,4240
Derby,grp1,-7480,-7460
Derbyshire Dales,grp1,-5251.428571,-5231.428571
Doncaster,grp1,2140,2160
Dover,grp1,-2948.571429,-2928.571429
Dudley,grp1,2474.285714,2494.285714
Ealing,grp1,3180,3200
East Cambridgeshire,grp1,-5734.285714,-5714.285714
East Devon,grp1,-5065.714286,-5045.714286
East Dorset,grp1,-4731.428571,-4711.428571
East Hampshire,grp1,-3654.285714,-3634.285714
East Hertfordshire,grp1,1471.428571,1491.428571
East Lindsey,grp1,-1871.428571,-1851.428571
East Northamptonshire,grp1,-1314.285714,-1294.285714
East Riding of Yorkshire,grp1,-7628.571429,-7608.571429
East Staffordshire,grp1,-200,-180
Eastbourne,grp1,-4545.714286,-4525.714286
Eastleigh,grp1,-3617.142857,-3597.142857
Eden,grp1,-5437.142857,-5417.142857
Elmbridge,grp1,320,340
Enfield,grp1,3217.142857,3237.142857
Epping Forest,grp1,-4137.142857,-4117.142857
Epsom and Ewell,grp1,357.1428571,377.1428571
Erewash,grp1,-5214.285714,-5194.285714
Exeter,grp1,-5028.571429,-5008.571429
Fareham,grp1,-3580,-3560
Fenland,grp1,-5697.142857,-5677.142857
Flintshire,grp1,4257.142857,4277.142857
Forest Heath,grp1,97.14285714,117.1428571
Forest of Dean,grp1,-3840,-3820
Fylde,grp1,-2540,-2520
Gateshead,grp1,2845.714286,2865.714286
Gedling,grp1,-757.1428571,-737.1428571
Gloucester,grp1,-3802.857143,-3782.857143
Gosport,grp1,-3542.857143,-3522.857143
Gravesham,grp1,-2911.428571,-2891.428571
Great Yarmouth,grp1,-1574.285714,-1554.285714
Greenwich,grp1,3254.285714,3274.285714
Guildford,grp1,394.2857143,414.2857143
Gwynedd,grp1,4145.714286,4165.714286
Hackney,grp1,3291.428571,3311.428571
Halton,grp1,-7814.285714,-7794.285714
Hambleton,grp1,-1091.428571,-1071.428571
Hammersmith and Fulham,grp1,3328.571429,3348.571429
Harborough,grp1,-2094.285714,-2074.285714
Haringey,grp1,3365.714286,3385.714286
Harlow,grp1,-4100,-4080
Harrogate,grp1,-1054.285714,-1034.285714
Harrow,grp1,3402.857143,3422.857143
Hart,grp1,-3505.714286,-3485.714286
Hartlepool,grp1,-8000,-7980
Hastings,grp1,-4508.571429,-4488.571429
Havant,grp1,-3468.571429,-3448.571429
Havering,grp1,3440,3460
"Herefordshire, County of",grp1,-7331.428571,-7311.428571
Hertsmere,grp1,-3208.571429,-3188.571429
High Peak,grp1,-5177.142857,-5157.142857
Hillingdon,grp1,3477.142857,3497.142857
Hinckley and Bosworth,grp1,-2057.142857,-2037.142857
Horsham,grp1,1062.857143,1082.857143
Hounslow,grp1,3514.285714,3534.285714
Huntingdonshire,grp1,-5660,-5640
Hyndburn,grp1,-2502.857143,-2482.857143
Ipswich,grp1,134.2857143,154.2857143
Isle of Anglesey,grp1,4108.571429,4128.571429
Isle of Wight,grp1,-6328.571429,-6308.571429
Isles of Scilly,grp1,-6105.714286,-6085.714286
Islington,grp1,3551.428571,3571.428571
Kensington and Chelsea,grp1,3588.571429,3608.571429
Kettering,grp1,-1277.142857,-1257.142857
King's Lynn and West Norfo,grp1,-1537.142857,-1517.142857
"Kingston upon Hull, City o",grp1,-7665.714286,-7645.714286
Kingston upon Thames,grp1,3625.714286,3645.714286
Kirklees,grp1,2734.285714,2754.285714
Knowsley,grp1,1917.142857,1937.142857
Lambeth,grp1,3662.857143,3682.857143
Lancaster,grp1,-2465.714286,-2445.714286
Leeds,grp1,2771.428571,2791.428571
Leicester,grp1,-7442.857143,-7422.857143
Lewes,grp1,-4471.428571,-4451.428571
Lewisham,grp1,3700,3720
Lichfield,grp1,-162.8571429,-142.8571429
Lincoln,grp1,-1834.285714,-1814.285714
Liverpool,grp1,1954.285714,1974.285714
Luton,grp1,-6848.571429,-6828.571429
Maidstone,grp1,-2874.285714,-2854.285714
Maldon,grp1,-4062.857143,-4042.857143
Malvern Hills,grp1,1211.428571,1231.428571
Manchester,grp1,1620,1640
Mansfield,grp1,-720,-700
Medway,grp1,-6737.142857,-6717.142857
Melton,grp1,-2020,-2000
Mendip,grp1,-422.8571429,-402.8571429
Merthyr Tydfil,grp1,4888.571429,4908.571429
Merton,grp1,3737.142857,3757.142857
Mid Devon,grp1,-4991.428571,-4971.428571
Mid Suffolk,grp1,171.4285714,191.4285714
Mid Sussex,grp1,1100,1120
Middlesbrough,grp1,-7962.857143,-7942.857143
Milton Keynes,grp1,-6477.142857,-6457.142857
Mole Valley,grp1,431.4285714,451.4285714
Monmouthshire,grp1,4777.142857,4797.142857
Neath Port Talbot,grp1,4480,4500
